temperature_celsius,humidity_percent,water_intake_liters
15,20,2.44
15,25,2.73
15,30,2.62
15,35,2.55
15,40,2.33
15,45,2.4
15,50,2.42
15,55,2.92
15,60,2.86
15,65,2.99
15,70,2.67
15,75,3.31
15,80,3.31
15,85,2.99
15,90,3.04
16,20,2.34
16,25,2.4
16,30,2.51
16,35,2.47
16,40,2.4
16,45,2.63
16,50,2.46
16,55,2.61
16,60,2.73
16,65,2.85
16,70,3.12
16,75,2.84
16,80,3.11
16,85,3.23
16,90,2.96
17,20,2.55
17,25,2.34
17,30,2.28
17,35,2.72
17,40,2.73
17,45,2.73
17,50,2.55
17,55,2.51
17,60,2.9
17,65,2.84
17,70,2.73
17,75,3.02
17,80,2.81
17,85,3.43
17,90,3.09
18,20,2.58
18,25,2.41
18,30,2.51
18,35,2.52
18,40,2.34
18,45,2.82
18,50,2.8
18,55,2.96
18,60,3.02
18,65,2.93
18,70,3.2
18,75,2.78
18,80,2.91
18,85,2.89
18,90,3.14
19,20,2.44
19,25,2.39
19,30,2.66
19,35,2.43
19,40,2.39
19,45,2.6
19,50,2.46
19,55,2.89
19,60,2.56
19,65,3.15
19,70,3.11
19,75,2.84
19,80,2.79
19,85,3.38
19,90,3.38
20,20,2.61
20,25,2.64
20,30,2.29
20,35,2.43
20,40,2.31
20,45,2.76
20,50,2.72
20,55,2.63
20,60,2.56
20,65,2.77
20,70,2.85
20,75,3.16
20,80,3.19
20,85,3.42
20,90,3.23
21,20,2.31
21,25,2.61
21,30,2.63
21,35,2.53
21,40,2.64
21,45,2.57
21,50,2.66
21,55,2.69
21,60,2.53
21,65,2.65
21,70,2.67
21,75,3.11
21,80,2.98
21,85,3.18
21,90,3.51
22,20,2.37
22,25,2.46
22,30,2.63
22,35,2.36
22,40,2.29
22,45,2.47
22,50,2.47
22,55,2.96
22,60,2.97
22,65,2.95
22,70,3.17
22,75,3.21
22,80,2.91
22,85,3.42
22,90,3.28
23,20,2.65
23,25,2.7
23,30,2.41
23,35,2.31
23,40,2.36
23,45,2.54
23,50,2.82
23,55,2.92
23,60,2.52
23,65,2.88
23,70,2.9
23,75,2.86
23,80,2.86
23,85,3.07
23,90,3.54
24,20,2.41
24,25,2.51
24,30,2.6
24,35,2.43
24,40,2.74
24,45,2.81
24,50,2.52
24,55,2.72
24,60,2.69
24,65,2.75
24,70,2.68
24,75,3.09
24,80,3.1
24,85,2.89
24,90,3.11
25,20,2.7
25,25,2.37
25,30,2.32
25,35,2.49
25,40,2.74
25,45,2.44
25,50,2.74
25,55,2.87
25,60,2.65
25,65,3.01
25,70,2.87
25,75,3.11
25,80,3.18
25,85,3.2
25,90,2.98
26,20,2.77
26,25,2.51
26,30,2.44
26,35,2.36
